prefecture,2023,2024,2025,2026,2027,2028,2029,2030
Aichi,45,42,48,50,47,52,49,50
Akita,38,40,36,42,39,44,45,44
Aomori,42,39,45,47,44,49,51,48
Chiba,51,48,54,56,53,58,60,59
Ehime,48,45,51,53,50,55,57,56
Fukui,43,46,40,38,41,36,34,32
Fukuoka,55,52,58,60,57,62,61,60
Fukushima,47,50,44,42,45,40,38,36
Gifu,49,46,52,54,51,56,55,54
Gunma,46,43,49,51,48,53,52,51
Hiroshima,53,56,50,48,51,46,49,45
Hokkaido,50,53,47,45,48,43,46,42
Hyogo,52,49,55,57,54,59,58,57
Ibaraki,44,41,47,49,46,51,50,49
Ishikawa,47,50,50,42,45,40,38,36
Iwate,41,44,44,36,39,34,32,30
Kagawa,45,42,48,50,47,52,51,50
Kagoshima,54,57,51,49,52,56,55,45
Kanagawa,56,53,44,42,45,53,51,45
Kochi,47,50,44,42,48,47,46,38
Kumamoto,50,53,44,45,54,40,39,38
Kyoto,52,49,47,57,54,43,39,41
Mie,54,57,55,49,52,59,58,57
Miyagi,44,41,44,42,52,47,46,50
Miyazaki,41,38,47,54,46,40,39,45
Nagano,49,46,44,49,39,40,42,38
Nagasaki,45,42,52,42,51,40,39,36
Nara,54,57,48,54,47,43,42,38
Niigata,56,50,51,50,52,43,42,38
Oita,47,53,44,49,45,59,58,54
Okayama,50,49,47,42,48,47,46,50
Okinawa,52,44,44,54,54,40,39,49
Osaka,47,41,47,45,46,40,39,42
Saga,44,44,50,45,45,43,42,45
Saitama,47,38,39,39,48,40,39,36
Shiga,41,46,47,51,54,43,42,34
Shimane,49,42,44,44,52,40,39,56
Shizuoka,45,57,52,45,45,43,42,52
Tochigi,54,50,48,57,54,59,58,49
Tokushima,56,53,51,52,48,52,51,50
Tokyo,47,49,44,49,54,42,40,45
Tottori,44,41,47,52,52,54,47,39
Toyama,47,44,40,42,45,50,50,32
Wakayama,41,38,40,54,46,49,39,30
Yamagata,49,46,34,50,39,42,32,50
Yamaguchi,45,42,56,49,51,54,55,45
Yamanashi,54,57,50,42,44,50,51,38
