,prefecture,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
0,Aichi,35756100,36457127,37171900,37000754,36830396,36660822,36492029,36324014,36156772,35990300,36924599,37883152,38866590,39875557,40910717,42992804.1720445,44006635.24350643,44980028.004975274,45896407.2152281,47065103.18420989,48078934.2556898,49052327.0169372,49968706.22729795,51137402.19620082,52151233.267611876,53124626.02898906
1,Akita,3658100,3732542,3808500,3756421,3705055,3654391,3604420,3555132,3506519,3458570,3491185,3524107,3557340,3590887,3624750,3690696.959514454,3721415.4376741755,3749725.0485253762,3774949.52573324,3824837.196575411,3855555.674753485,3883865.2856043885,3909089.7628162326,3958977.433652876,3989695.911829005,4018005.5226689684
2,Aomori,4311500,4438965,4570200,4549596,4529085,4508667,4488340,4468106,4447962,4427910,4448771,4469732,4490791,4511949,4533207,4572719.725750882,4589339.485272514,4602792.138816848,4612282.189680373,4656727.342483871,4673347.102008497,4686799.755535757,4696289.806418514,4740734.959221844,4757354.718732461,4770807.372271128
3,Chiba,19006400,19325963,19650900,19706707,19762674,19818799,19875084,19931529,19988134,20044900,20285968,20529935,20776836,21026707,21279583,21777380.893017173,22013877.96284546,22236496.3419312,22441064.148848865,22778678.073322788,23015175.143004604,23237793.522130143,23442361.329076096,23779975.25363,24016472.323327374,24239090.70250201
4,Ehime,4921400,4931739,4942100,4915148,4888344,4861686,4835173,4808805,4782581,4756500,4832393,4909497,4987832,5067416,5148271,5305433.668776073,5377546.17371871,5442559.571673702,5498390.835354393,5624240.648600222,5696353.153534785,5761366.551470656,5817197.815184552,5943047.628429953,6015160.133366638,6080173.5313088205
5,Fukui,3336200,3322120,3308099,3282048,3256201,3230558,3205117,3179876,3154834,3129990,3235541,3344652,3457442,3574037,3694563,3946258.4562489702,4076878.0260237316,4210268.96218988,4346125.236135154,4420348.566278044,4550968.1360165225,4684359.072161567,4820215.346126146,4894438.676275798,5025058.246013816,5158449.182188639
6,Fukuoka,18123200,18316024,18510900,18453409,18396098,18338965,18282008,18225229,18168627,18112200,18464285,18823214,19189121,19562141,19942412,20686130.061442062,21030066.163481742,21342446.02574245,21613546.938892048,22183208.248507813,22527144.35029815,22839524.21254733,23110625.125679642,23680286.4354015,24024222.537141774,24336602.399580948
7,Fukushima,7819000,7851133,7883399,7812434,7742108,7672415,7603349,7534905,7467077,7399859,7513737,7629366,7746775,7865991,7987042,8225207.858570542,8337623.723576247,8442473.796128428,8537438.666117426,8703413.651700286,8815829.516587699,8920679.589120064,9015644.459175067,9181619.444798833,9294035.309708746,9398885.382294634
8,Gifu,7438600,7412454,7386400,7360767,7335224,7309769,7284402,7259124,7233933,7208830,7348881,7491653,7637199,7785573,7936830,8238563.695646026,8384332.94362355,8523568.465697536,8653933.03125867,8835524.4829882,8981293.73095584,9120529.253061172,9250893.818657165,9432485.27042831,9578254.51837234,9717490.040469328
9,Gunma,7487900,7493048,7498200,7568651,7639764,7711546,7784001,7857138,7930962,8005480,8250577,8503178,8763514,9031819,9308340,9880130.587399678,10172453.209946025,10467040.752827663,10762376.281290503,10968569.351489257,11260891.974069482,11555479.51698472,11850815.045460597,12057008.115687579,12349330.738225501,12643918.28112079
10,Hiroshima,11682400,11831004,11981500,11872332,11764159,11656971,11550761,11445518,11341233,11237900,11380473,11524855,11671069,11819138,11969086,12266315.873345109,12409450.291586127,12546161.42985481,12674381.502093364,12860300.122789448,13003434.541076563,13140145.679362247,13268365.751586813,13454284.372282162,13597418.790546957,13734129.928810956
11,Hokkaido,19290100,18869668,18458400,18462140,18465881,18469624,18473366,18477110,18480854,18484599,18864647,19252509,19648345,20052320,20464601,21347601.516161934,21835063.8633741,22363935.753083907,22942138.8942215,22988733.49460135,23476195.841778256,24005067.73159285,24583270.87269513,24629865.473132364,25117327.820327103,25646199.71010152
12,Hyogo,19064800,19100217,19135700,19227566,19319873,19412624,19505819,19599462,19693555,19788100,20247666,20717905,21199066,21691401,22195171,23234663.418578286,23769131.31210205,24312432.339618284,24863769.198671695,25226577.02181296,25761044.91547025,26304345.942893844,26855682.801978804,27218490.625018667,27752958.518673316,28296259.54606464
13,Ibaraki,10997000,11283712,11577900,11582822,11587746,11592673,11597601,11602532,11607465,11612400,12070731,12547152,13042377,13557148,14092237,15240909.115308557,15863221.205386147,16523196.827780712,17225031.31643826,17345808.16453269,17968120.25457005,18628095.876926977,19329930.365653776,19450707.21374414,20073019.303815454,20732994.92618195
14,Ishikawa,4646500,4677695,4709100,4691613,4674192,4656835,4639542,4622314,4605150,4588050,4625709,4663677,4701957,4740551,4779462,4855970.249665411,4892513.036945481,4927188.340627722,4959473.218541075,5010428.909598258,5046971.696846442,5081647.000546286,5113931.878482043,5164887.569571734,5201430.35681134,5236105.660519147
