,prefecture,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
0,Aichi,6221638,6267658,6314020,6360724,6407774,6455172,6501585,6548333,6595417,6642839,6690603,6725777,6761137,6796683,6832415,6868336,6902977,6937793,6972785,7007954,7043300,7085082,7127112,7169391,7211921,7254704,7285641,7316711,7347914,7379249,7410719,7425336,7439982,7454657,7469361,7484094,7495722,7507368,7519032,7530714,7561640.637998401,7579068.8838259345,7599787.192478522,7624660.425443895,7614337.895807935,7631766.141637417,7652484.450289653,7677357.683249133,7667035.153608526,7684463.399442837,7705181.708092935
1,Akita,1256745,1256201,1255659,1255116,1254574,1254032,1248675,1243342,1238031,1232743,1227478,1224703,1221934,1219172,1216416,1213667,1208749,1203852,1198974,1194117,1189279,1180391,1171570,1162815,1154125,1145501,1133344,1121317,1109418,1097645,1085997,1073060,1060278,1047649,1035169,1022839,1009845,997017,984352,971847,946020.5766927577,932299.431068586,917793.1153427578,902302.9195169867,895402.8893043672,881681.7436797449,867175.4279539909,851685.2321295787,844785.2019180176,831064.0562922924,816557.740567033
2,Aomori,1523907,1524015,1524123,1524231,1524339,1524448,1516040,1507679,1499365,1491096,1482873,1482630,1482388,1482146,1481904,1481663,1480474,1479286,1478099,1476913,1475728,1467829,1459973,1452159,1444387,1436657,1423764,1410986,1398324,1385775,1373339,1360150,1347087,1334151,1321338,1308649,1294200,1279911,1265780,1251804,1226052.9150928666,1213037.9989421174,1200374.1334138948,1188142.6870593615,1171903.5219084348,1158888.6057578684,1146224.7402296113,1133993.2938745238,1117754.1287231543,1104739.2125730482,1092075.347044589
3,Chiba,4735424,4815235,4896392,4978917,5062833,5148163,5227154,5307358,5388792,5471476,5555429,5603075,5651130,5699597,5748480,5797782,5823257,5848845,5874545,5900358,5926285,5952094,5978016,6004051,6030199,6056462,6088095,6119893,6151858,6183989,6216289,6217835,6219383,6220930,6222478,6224027,6236070,6248138,6260228,6272342,6273240.271091547,6276576.590934531,6278193.52638191,6277784.739312744,6299539.977809672,6302876.297651954,6304493.233099436,6304084.446032379,6325839.684530954,6329176.004371511,6330792.939819775
4,Ehime,1506637,1511277,1515932,1520601,1525285,1529983,1526979,1523982,1520990,1518004,1515025,1513356,1511689,1510024,1508361,1506700,1503968,1501241,1498520,1495803,1493092,1488002,1482929,1477874,1472835,1467815,1460477,1453176,1445912,1438684,1431493,1422243,1413054,1403923,1394852,1385840,1377541,1369292,1361093,1352942,1334238.9164478872,1324434.5807071968,1313756.6932308073,1301974.0945176804,1299571.4220901655,1289767.0863489506,1279089.1988726477,1267306.600161101,1264903.9277348155,1255099.5919923205,1244421.704516591
5,Fukui,794353,798956,803584,808240,812923,817632,818819,820008,821199,822391,823584,824266,824947,825629,826312,826996,827385,827774,828164,828554,828944,827468,825995,824524,823057,821592,818513,815446,812390,809346,806314,802433,798572,794729,790905,787099,783009,778941,774894,770868,763258.8558940041,759548.4363974062,756023.4041868297,752733.396365506,747474.7441777434,743764.3246812571,740239.292470659,736949.284648998,731690.632460967,727980.212964759,724455.1807540389
6,Fukuoka,4553461,4586147,4619069,4652227,4685623,4719259,4737476,4755763,4774121,4792550,4811050,4835273,4859618,4884086,4908678,4933393,4949745,4966152,4982613,4999128,5015699,5022522,5029354,5036196,5043047,5049908,5054312,5058720,5063132,5067548,5071968,5078133,5084306,5090487,5096675,5102871,5109323,5115783,5122252,5128729,5140934.130295717,5146845.219275587,5152448.188231823,5157662.338293874,5166231.937232359,5172143.026212041,5177745.995168298,5182960.145230907,5191529.744169807,5197440.833149055,5203043.802105514
7,Fukushima,2035272,2044199,2053166,2062172,2071218,2080304,2085033,2089773,2094524,2099285,2104058,2109931,2115822,2121728,2127652,2133592,2132258,2130926,2129595,2128264,2126935,2119763,2112616,2105493,2098394,2091318,2078717,2066191,2053740,2041364,2029064,2005428,1982067,1958979,1936159,1913606,1897237,1881009,1864919,1848967,1800729.722615689,1778833.4415260567,1756114.287270564,1732512.4965668803,1721392.4987429467,1699496.2176531728,1676777.0633976914,1653175.2726944298,1642055.274870837,1620158.9937806984,1597439.8395253876
8,Gifu,1960107,1973605,1987197,2000882,2014661,2028536,2036086,2043664,2051270,2058905,2066569,2073274,2080001,2086750,2093522,2100315,2101789,2103265,2104742,2106220,2107700,2107605,2107510,2107415,2107320,2107226,2101908,2096604,2091314,2086036,2080773,2071034,2061341,2051693,2042090,2032533,2021659,2010843,2000085,1989385,1970460.3790786215,1961371.842135295,1953148.023135518,1946018.1633663955,1929631.8978682682,1920543.3609254577,1912319.5419255868,1905189.6821549032,1888803.4166555433,1879714.8797140142,1871491.0607135764
9,Gunma,1848562,1862877,1877304,1891843,1906494,1921259,1930177,1939136,1948137,1957180,1966265,1973664,1981091,1988545,1996028,2003540,2007784,2012037,2016300,2020571,2024851,2024708,2024565,2024421,2024278,2024135,2020911,2017692,2014479,2011271,2008067,2001101,1994159,1987240,1980346,1973475,1966554,1959657,1952783,1945934,1932042.7870544794,1925027.1379712168,1917930.9346358313,1910735.2795911236,1904459.2156637236,1897443.5665804164,1890347.363245034,1883151.7082004577,1876875.6442731526,1869859.9951897457,1862763.7918544114
